,Course
0,PPHA 30535orPPHA 30537Data and Programming for Public Policy I
1,PPHA 30536orPPHA 30538Data and Programming for Public Policy II
2,PPHA 30545orPPHA 30546Machine Learning
3,BUSN 41204 Machine Learning
4,CMSC 35300 Mathematical Foundations of Machine Learning
5,MACS 33002 Introduction to Machine Learning
6,PPHA 34600 Program Evaluation?
7,PPHA 38829 Artificial Intelligence for Public Policy
8,PPHA 42000 Applied Econometrics I?
9,PPHA 42100 Applied Econometrics II?
10,PPHA 60000 Policy Labs?(with permission of the Specialization Director)
11,BUSN 37304 Digital and Algorithmic Marketing
12,BUSN 37105 Data Science for Marketing Decision Making
13,BUSN 40206 Healthcare Business Analytics
14,BUSN 41100 Applied Regression Analysis
15,BUSN 41201 Big Data
16,CAPP 30300 / PPHA 30581 Data Science Clinic
17,ECMA 31130 Topics in Microeconomics
